254|MDAS|MstConsumerMeterRelation.CMRConsumerID|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
255|MDAS|MstConsumerMeterRelation.CMRConsumerID|Required|Y|Please enter code||
256|MDAS|MstConsumerMeterRelation.CMRConsumerID|Padded|Y|\ ||
257|MDAS|MstConsumerMeterRelation.CMRConsumerMasterID|Required|Y|Please select Consumer Code||
258|MDAS|MstConsumerMeterRelation.CMRConsumerMasterID|MaxLength|400|Max length is 400||
259|MDAS|MstConsumerMeterRelation.CMRConsumerMasterID|MinLength|0|Min length is 0||
260|MDAS|MstConsumerMeterRelation.CMRMETERID|Required|Y|Please select Meter Code||
261|MDAS|MstConsumerMeterRelation.CMRMETERID|MaxLength|400|Max length is 400||
262|MDAS|MstConsumerMeterRelation.CMRMETERID|MinLength|0|Min length is 0||
263|MDAS|MstConsumerMeterRelation.CMRRELATIONSHIPSTARTDATE|Required|Y|Please select start date||
264|MDAS|MstConsumerMeterRelation.CMRRELATIONSHIPENDDATE|Required|Y|Please select end date||
265|MDAS|MstConsumerMeterRelation.CMRSERVICESTARTDATE|Required|Y|Please select start date||
266|MDAS|MstConsumerMeterRelation.CMRSERVICEENDDATE|Required|Y|Please select end date||
267|MDAS|MstTouCalendar.TCTouID|Required|Y|Please select code||
268|MDAS|MstTouCalendar.TCTouID|MaxLength|400|Max length is 400||
269|MDAS|MstTouCalendar.TCTouID|MinLength|0|Min length is 0||
270|Global|ServerDate|Format|mm/dd/yy|Date format is dd/mm/yyyy|\ |
280|MDAS|MstConsumerMeterRelation.cmrrelationshipenddate|MESSAGE||End date should  be greater than start date||
281|MDAS|MstConsumerMeterRelation.cmrserviceenddate|MESSAGE||End date should  be greater than start date||
282|Global|Phase|Phase|Single|\ |\ |
283|Company|1|CMS DEV|myHtml.txt^InvoiceTableStyle.txt^InvoiceTableGuide.txt|Verdana|~/Content/images/northwindlogo.gif|
284|CommunicationType|CommunicationType|1|TCP|\ |\ |
285|CommunicationType|CommunicationType|2|Serial|\ |\ |
286|Global|CurrentDateTimeField|Format|Do MMM YYYY \| h:mm:ss A zz|||
287|GroupDisplay|Parameter|VRN|vrn-loadsurveylogs|||
288|GroupDisplay|Parameter|PF|pf-loadsurveylogs|||
289|HistoryData|Parameter|Kwh Exp|Kwh_exp|||
290|HistoryData|Parameter|kwh imp|kwh_imp|||
